country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM","13-12-2025 20:00:00",19.23241,72.86895,OZONE,17,67,58
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC","13-12-2025 20:00:00",19.215859,72.831718,OZONE,1,98,70
India,Maharashtra,Nashik,"Gangapur Road, Nashik - MPCB","13-12-2025 20:00:00",20.0073285,73.7762427,NO2,5,5,5
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","13-12-2025 20:00:00",19.950220,73.731480,CO,22,26,24
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","13-12-2025 20:00:00",19.950220,73.731480,OZONE,25,84,52
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB","13-12-2025 20:00:00",19.9591346,73.7788008,PM2.5,NA,NA,NA
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB","13-12-2025 20:00:00",19.9591346,73.7788008,NO2,NA,NA,NA
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB","13-12-2025 20:00:00",19.9591346,73.7788008,NH3,NA,NA,NA
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB","13-12-2025 20:00:00",19.9591346,73.7788008,OZONE,24,69,50
India,Maharashtra,"Navi Mumbai","Kopripada-Vashi, Navi Mumbai - MPCB","13-12-2025 20:00:00",19.090337,73.014232,NO2,13,90,51
India,Maharashtra,"Navi Mumbai","Mahape, Navi Mumbai - MPCB","13-12-2025 20:00:00",19.1135051,73.008978,SO2,22,24,24
India,Maharashtra,"Navi Mumbai","Mahape, Navi Mumbai - MPCB","13-12-2025 20:00:00",19.1135051,73.008978,CO,24,30,26
India,Maharashtra,"Navi Mumbai","Mahape, Navi Mumbai - MPCB","13-12-2025 20:00:00",19.1135051,73.008978,OZONE,8,14,10
India,Maharashtra,"Navi Mumbai","Nerul, Navi Mumbai - MPCB","13-12-2025 20:00:00",19.008751,73.016620,PM2.5,43,264,129
India,Maharashtra,"Navi Mumbai","Nerul, Navi Mumbai - MPCB","13-12-2025 20:00:00",19.008751,73.016620,PM10,55,190,118
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB","13-12-2025 20:00:00",17.6336264,75.9132495,PM10,52,339,110
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB","13-12-2025 20:00:00",17.6336264,75.9132495,SO2,2,17,8
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur - MPCB","13-12-2025 20:00:00",17.65439,75.90649,CO,18,119,41
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB","13-12-2025 20:00:00",19.26777,72.97182,PM10,93,144,125
India,Maharashtra,Thane,"Kasarvadavali, Thane - MPCB","13-12-2025 20:00:00",19.26777,72.97182,OZONE,3,80,69
India,Maharashtra,Thane,"Upvan Fort, Thane - MPCB","13-12-2025 20:00:00",19.222279,72.957979,NO2,17,87,44
India,Maharashtra,Ulhasnagar,"Sidhi Vinayak Nagar, Ulhasnagar - MPCB","13-12-2025 20:00:00",19.235581,73.159121,PM2.5,52,308,157
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM","13-12-2025 20:00:00",18.530085,73.849598,OZONE,6,81,54
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","13-12-2025 20:00:00",18.547056,73.826908,PM2.5,44,174,116
